date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2010-04-07 17:00:00+00:00,61.0,30.346,24.296,26.896002,37.313377,29.61348,32.70463,0,0,43232.816,37072.797,3.8,3.8,0.0,5.0,7.6367526,20.880001,249.75148,17.09,3.5521858
2010-04-08 17:00:00+00:00,53.0,30.596,24.496,27.198084,36.089863,29.538963,32.519238,0,0,43213.395,34875.883,1.9000001,1.9000001,0.0,6.0,11.165805,24.48,251.99872,18.96,3.96139
2010-04-09 17:00:00+00:00,63.0,30.346,23.546,26.583498,36.594353,28.446033,31.953058,0,0,43194.105,39874.953,7.1000004,7.1000004,0.0,12.0,11.212135,24.84,278.93048,21.11,4.219203
2010-04-10 17:00:00+00:00,55.0,29.996,24.746,27.168915,35.454823,29.378044,32.32705,0,0,43174.945,35007.83,4.2999997,4.2999997,0.0,10.0,13.1041975,29.519999,250.58531,17.38,3.6120138
2010-04-11 17:00:00+00:00,51.0,30.796,23.746,27.410583,37.91772,28.781864,33.154507,0,0,43155.938,38462.605,0.1,0.1,0.0,1.0,7.7043357,18.359999,248.87514,21.19,4.390316
2010-04-12 17:00:00+00:00,51.0,30.696,24.496,27.554329,37.75107,29.617214,33.12542,0,0,43137.098,39937.043,0.1,0.1,0.0,1.0,10.948973,19.44,274.70773,22.04,4.614659
2010-04-13 17:00:00+00:00,63.0,29.946,25.046,26.86267,35.49659,30.55251,32.435852,0,0,43118.438,35194.035,14.1,14.1,0.0,18.0,9.227524,25.56,275.3836,15.76,3.177587
2010-04-14 17:00:00+00:00,63.0,30.546,23.996,26.781416,37.16559,28.91829,32.27059,0,0,43099.97,33731.258,9.3,9.3,0.0,7.0,11.384199,25.919998,250.00441,19.66,3.9846468
2010-04-15 17:00:00+00:00,55.0,29.596,24.796,26.362665,34.0752,27.390133,30.41034,0,0,43081.703,29393.896,5.4,5.4,0.0,13.0,17.283749,41.760002,246.5904,15.78,3.46314
2010-04-16 17:00:00+00:00,3.0,30.496,23.946,27.00225,35.083298,27.468565,31.013159,0,0,43063.527,36568.2,0.0,0.0,0.0,0.0,12.10157,24.119999,257.79303,18.26,4.010636
2010-04-17 17:00:00+00:00,51.0,30.146,24.096,27.07725,34.90944,28.33432,31.256594,0,0,43045.395,39633.906,0.90000004,0.90000004,0.0,4.0,15.893093,34.92,251.14467,20.62,4.357459
2010-04-18 17:00:00+00:00,51.0,30.146,24.196,27.11267,34.358784,28.525501,31.235693,0,0,43027.316,39262.863,0.3,0.3,0.0,2.0,17.313717,32.399998,248.99883,20.14,4.2997785
2010-04-19 17:00:00+00:00,51.0,30.746,24.196,27.16475,36.533417,28.396824,32.07155,0,0,43009.305,39460.535,0.4,0.4,0.0,2.0,13.363711,27.0,251.48157,20.38,4.1991625
2010-04-20 17:00:00+00:00,53.0,30.246,24.496,26.9335,35.51209,29.157986,31.875494,0,0,42991.375,37448.406,2.4,2.4,0.0,7.0,13.854155,29.88,256.33197,18.02,3.6902633
2010-04-21 17:00:00+00:00,53.0,30.096,24.596,27.204332,34.97199,29.173046,31.917444,0,0,42973.54,35138.81,1.3000001,1.3000001,0.0,4.0,16.215992,30.960001,252.14075,17.01,3.5824332
2010-04-22 17:00:00+00:00,2.0,30.846,25.096,27.506416,36.002033,29.660408,31.830673,0,0,42955.812,39521.203,0.0,0.0,0.0,0.0,15.192682,32.039997,249.6613,18.1,4.0167785
2010-04-23 17:00:00+00:00,51.0,31.446,25.496,27.981413,38.077694,29.675224,32.98428,0,0,42938.203,38777.79,0.3,0.3,0.0,2.0,11.792404,25.56,254.60306,19.86,4.327117
2010-04-24 17:00:00+00:00,51.0,31.046,24.696,27.531416,38.41053,29.700283,33.2504,0,0,42920.73,39432.64,0.90000004,0.90000004,0.0,3.0,10.799999,16.56,75.51018,21.57,4.4680133
2010-04-25 17:00:00+00:00,53.0,31.096,25.446,27.833502,38.487625,31.228474,33.795948,0,0,42903.406,39854.375,1.4000001,1.4000001,0.0,8.0,10.446206,21.24,355.36453,23.01,4.7492275
2010-04-26 17:00:00+00:00,51.0,30.946,24.496,27.673082,38.00579,29.6311,33.219997,0,0,42886.246,38778.27,0.8,0.8,0.0,4.0,8.14587,18.72,266.40646,21.03,4.390165
2010-04-27 17:00:00+00:00,2.0,31.396,24.696,27.923086,36.52252,29.410309,32.729427,0,0,42869.258,39330.297,0.0,0.0,0.0,0.0,9.360001,24.84,255.58397,21.41,4.5518913
2010-04-28 17:00:00+00:00,61.0,30.346,25.096,27.198082,36.3573,30.3045,32.898132,0,0,42852.46,38084.98,5.4,5.4,0.0,7.0,7.9932966,20.880001,140.1945,16.98,3.4967577
2010-04-29 17:00:00+00:00,51.0,30.996,24.496,27.487663,36.91882,29.88477,32.73365,0,0,42835.87,40047.902,0.1,0.1,0.0,1.0,14.277983,25.56,83.42882,21.51,4.4617977
2010-04-30 17:00:00+00:00,51.0,31.296,25.296,28.060583,36.180958,30.613987,33.36878,0,0,42819.5,39634.715,0.7,0.7,0.0,3.0,17.651016,33.48,91.1233,21.46,4.481568
2010-05-01 17:00:00+00:00,51.0,30.896,24.446,27.621002,37.078503,29.863575,33.222904,0,0,42803.367,38770.598,1.3,1.3,0.0,5.0,12.096214,29.16,71.34487,19.79,4.113927
2010-05-02 17:00:00+00:00,51.0,31.596,24.296,27.47933,38.132877,29.437893,32.909832,0,0,42787.48,39627.316,1.1000001,1.1000001,0.0,6.0,13.479583,26.28,90.39377,21.95,4.586079
2010-05-03 17:00:00+00:00,61.0,29.796,24.546,26.639746,35.30386,29.916428,31.7441,0,0,42771.855,38178.125,5.4,5.4,0.0,10.0,17.193533,33.12,94.44115,16.1,3.302531
2010-05-04 17:00:00+00:00,61.0,29.596,24.696,26.735582,33.698784,29.860874,31.685553,0,0,42756.516,25051.219,6.1,6.1,0.0,12.0,16.595179,31.68,95.326775,12.99,2.788493
