datetime,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
1980-03-18 17:00:00+00:00,61.0,27.496,22.546,24.571001,31.859512,26.280952,28.852957,0,0,43627.41,30479.695,7.9,7.9,0.0,12.0,7.9526596,25.919998,233.24922,13.44,2.677894
1980-03-19 17:00:00+00:00,3.0,29.846,21.396,25.510582,35.865047,25.002447,29.91318,0,0,43606.926,41184.5,0.0,0.0,0.0,0.0,8.311245,20.16,237.71658,23.83,4.8249073
1980-03-20 17:00:00+00:00,3.0,30.346,19.696,25.348083,36.119205,22.152727,29.166918,0,0,43586.547,40276.54,0.0,0.0,0.0,0.0,9.726665,19.44,242.14043,26.0,5.29604
1980-03-21 17:00:00+00:00,51.0,30.296,22.146,26.171,35.042484,25.82707,30.212242,0,0,43566.273,41143.715,0.1,0.1,0.0,1.0,14.759999,28.08,255.64604,23.58,4.8541913
1980-03-22 17:00:00+00:00,2.0,30.446,23.446,26.835579,34.758324,27.464231,30.711023,0,0,43546.125,41123.375,0.0,0.0,0.0,0.0,17.294992,34.92,258.38217,23.65,4.955242
1980-03-23 17:00:00+00:00,61.0,30.096,23.946,26.829332,36.425953,28.443878,31.754683,0,0,43526.105,39539.85,2.9,2.9,0.0,7.0,13.513193,32.760002,276.96817,22.23,4.4250245
1980-03-24 17:00:00+00:00,55.0,29.496,23.496,26.146002,35.879696,28.420074,31.653038,0,0,43506.1,39031.93,5.9999995,5.9999995,0.0,15.0,9.6932955,24.119999,307.10834,20.27,3.9935653
1980-03-25 17:00:00+00:00,63.0,29.296,23.096,25.718916,35.955856,27.488178,31.131378,0,0,43486.055,38120.887,13.7,13.7,0.0,14.0,9.107359,21.24,138.81421,19.65,3.8896365
1980-03-26 17:00:00+00:00,63.0,29.696,23.346,25.746,37.133904,27.959042,31.202448,0,0,43465.977,36566.7,12.0,12.0,0.0,9.0,7.69592,22.68,171.25389,20.89,4.1592846
1980-03-27 17:00:00+00:00,55.0,28.796,23.196,25.500162,34.98165,27.513409,30.741953,0,0,43445.883,39822.395,6.4,6.4,0.0,14.0,10.390226,22.319998,85.236465,19.72,3.7996016
